datetime,precip,level
2022-01-13 16:00:00,0.0,818.0
2022-01-16 01:00:00,0.17,852.0
2022-01-16 02:00:00,0.731,852.0
2022-01-16 03:00:00,0.0,852.0
2022-01-16 04:00:00,0.0,852.0
2022-01-16 05:00:00,0.0,852.0
2022-01-16 06:00:00,0.0,850.0
2022-01-16 07:00:00,0.0,852.0
2022-01-16 08:00:00,0.0,816.0
2022-01-17 11:00:00,0.0566666666666666,839.0
2022-01-17 12:00:00,0.2731333333333333,839.0
2022-01-17 13:00:00,0.8432,839.0
2022-01-17 14:00:00,0.7941428571428572,839.0
2022-01-17 15:00:00,1.3676904761904762,837.0
2022-01-17 16:00:00,0.4788333333333333,823.0
2022-01-17 17:00:00,1.2693333333333332,825.0
2022-01-17 18:00:00,0.272,827.0
2022-01-17 19:00:00,0.0821666666666666,825.0
2022-01-17 20:00:00,0.0198333333333333,823.0
2022-01-17 21:00:00,0.0,827.0
2022-01-17 22:00:00,0.0,829.0
2022-01-17 23:00:00,0.0,825.0
2022-01-18 00:00:00,0.0,827.0
2022-01-18 01:00:00,0.0,831.0
2022-01-18 02:00:00,0.0,833.0
2022-01-18 11:00:00,0.34,845.0
2022-01-18 12:00:00,0.7791666666666667,845.0
2022-01-18 13:00:00,0.7702619047619048,847.0
2022-01-18 14:00:00,0.1165714285714285,849.0
2022-01-18 15:00:00,0.017,849.0
2022-01-18 16:00:00,0.0,845.0
2022-01-18 17:00:00,0.0,835.0
2022-01-18 18:00:00,0.0,833.0
2022-01-18 19:00:00,0.0,833.0
2022-01-18 20:00:00,0.0,831.0
2022-01-18 21:00:00,0.0,827.0
2022-01-19 10:00:00,0.017,843.0
2022-01-19 11:00:00,0.0,847.0
2022-01-19 12:00:00,0.0,849.0
2022-01-19 13:00:00,0.0,849.0
2022-01-19 14:00:00,0.0,849.0
2022-01-19 15:00:00,0.0,849.0
2022-01-19 16:00:00,0.0,849.0
2022-01-20 05:00:00,0.0283333333333333,849.0
2022-01-20 06:00:00,0.1076666666666666,849.0
2022-01-20 07:00:00,0.017,849.0
2022-01-20 08:00:00,0.0,849.0
2022-01-20 09:00:00,0.0,849.0
2022-01-20 10:00:00,0.0,849.0
2022-01-20 11:00:00,0.0396666666666666,852.0
2022-01-20 12:00:00,0.0861333333333333,852.0
2022-01-20 13:00:00,0.8602000000000001,850.0
2022-01-20 14:00:00,0.6562,852.0
2022-01-20 15:00:00,0.5337999999999999,852.0
2022-01-20 16:00:00,0.119,852.0
2022-01-20 17:00:00,0.6176666666666667,852.0
2022-01-20 18:00:00,0.9259333333333332,835.0
2022-01-20 19:00:00,0.4284,823.0
2022-01-20 20:00:00,0.051,825.0
2022-01-20 21:00:00,0.017,833.0
2022-01-20 22:00:00,0.0,837.0
2022-01-20 23:00:00,0.0,825.0
2022-01-21 00:00:00,0.0,825.0
2022-01-21 01:00:00,0.0,829.0
2022-01-21 02:00:00,0.0,833.0
2022-01-21 03:00:00,0.0,837.0
2022-01-23 11:00:00,0.051,852.0
2022-01-23 12:00:00,0.0,852.0
2022-01-23 13:00:00,0.0,852.0
2022-01-23 14:00:00,0.0,852.0
2022-01-23 15:00:00,0.0,852.0
2022-01-23 16:00:00,0.0,852.0
2022-01-23 17:00:00,0.0,852.0
2022-02-02 14:00:00,0.068,852.0
2022-02-02 15:00:00,0.0,850.0
2022-02-02 16:00:00,0.0,852.0
2022-02-02 17:00:00,0.0,852.0
2022-02-02 18:00:00,0.0,850.0
2022-02-02 19:00:00,0.0,852.0
2022-02-02 20:00:00,0.0,850.0
2022-02-02 22:00:00,0.6799999999999999,852.0
2022-02-02 23:00:00,0.3173333333333333,852.0
2022-02-03 00:00:00,0.3286666666666666,852.0
2022-02-03 01:00:00,0.153,852.0
2022-02-03 02:00:00,1.0506,852.0
2022-02-03 03:00:00,0.7684,852.0
2022-02-03 04:00:00,0.187,850.0
2022-02-03 05:00:00,1.3798333333333332,852.0
2022-02-03 06:00:00,1.9487666666666668,816.0
2022-02-03 07:00:00,0.7400666666666667,816.0
2022-02-03 08:00:00,0.9973333333333334,823.0
2022-02-03 09:00:00,1.977666666666667,827.0
2022-02-03 10:00:00,1.6518333333333333,823.0
2022-02-03 11:00:00,0.5865,821.0
2022-02-03 12:00:00,0.2153333333333333,825.0
2022-02-03 13:00:00,0.8556666666666667,827.0
2022-02-03 14:00:00,2.3120000000000003,823.0
2022-02-03 15:00:00,1.3033333333333332,823.0
2022-02-03 16:00:00,7.14,827.0
2022-02-03 17:00:00,2.1000666666666667,829.0
2022-02-03 18:00:00,2.5806,829.0
2022-02-03 19:00:00,5.083,823.0
2022-02-03 20:00:00,0.935,823.0
2022-02-03 21:00:00,0.051,771.0
2022-02-03 22:00:00,1.7991666666666666,765.0
2022-02-03 23:00:00,5.3635,806.0
2022-02-04 00:00:00,3.3501333333333334,754.0
2022-02-04 01:00:00,3.1178,804.0
2022-02-04 02:00:00,2.1964,821.0
2022-02-04 03:00:00,3.179,825.0
2022-02-04 04:00:00,3.298,777.0
2022-02-04 05:00:00,2.6973333333333334,781.0
2022-02-04 06:00:00,1.4846666666666666,787.0
2022-02-04 07:00:00,1.2551666666666663,790.0
2022-02-04 08:00:00,0.1490333333333333,787.0
2022-02-04 09:00:00,0.2957999999999999,788.0
2022-02-04 10:00:00,2.414,785.0
